feature,tophat2,hisat2,hisat2/tophat2
FBgn0027945,12,12,1
FBgn0027948,107,106,0.9906542056074766
FBgn0027949,4,3,0.75
FBgn0027950,3,3,1
FBgn0027951,17,19,1.1176470588235294
FBgn0028292,5,5,1
FBgn0028325,63,58,0.9206349206349206
FBgn0028327,52,53,1.0192307692307692
FBgn0028331,73,69,0.9452054794520548
FBgn0028336,24,22,0.9166666666666666
FBgn0028341,35,34,0.9714285714285714
FBgn0028342,38,33,0.868421052631579
FBgn0028343,13,13,1
FBgn0028360,22,21,0.9545454545454546
FBgn0028369,2,2,1
FBgn0028371,9,9,1
FBgn0028372,3,3,1
FBgn0028375,4,4,1
FBgn0028380,4,3,0.75
FBgn0028381,7,6,0.8571428571428571
FBgn0028382,2,2,1
FBgn0028387,11,9,0.8181818181818182
FBgn0028397,12,12,1
FBgn0028399,37,34,0.918918918918919
FBgn0028400,2,2,1
FBgn0028402,3,3,1
FBgn0028406,1,1,1
FBgn0028408,36,29,0.8055555555555556
FBgn0028411,3,3,1
FBgn0028421,9,8,0.8888888888888888
FBgn0028424,4,3,0.75
FBgn0028425,13,13,1
FBgn0028426,4,3,0.75
FBgn0028427,11,11,1
FBgn0028429,11,8,0.7272727272727273
FBgn0028434,3,3,1
FBgn0028467,20,20,1
FBgn0028468,6,5,0.8333333333333334
FBgn0028471,9,9,1
FBgn0028473,80,70,0.875
FBgn0028474,13,12,0.9230769230769231
FBgn0028475,9,7,0.7777777777777778
FBgn0028476,14,10,0.7142857142857143
FBgn0028479,20,20,1
FBgn0028480,12,11,0.9166666666666666
FBgn0028481,1,1,1
FBgn0028482,1,1,1
FBgn0028484,10,10,1
FBgn0028487,3,2,0.6666666666666666
FBgn0028490,25,21,0.84
FBgn0028491,13,12,0.9230769230769231
FBgn0028497,5,5,1
FBgn0028500,9,8,0.8888888888888888
FBgn0028504,3,3,1
FBgn0028506,4,4,1
FBgn0028509,16,12,0.75
FBgn0028515,4,4,1
FBgn0028516,14,10,0.7142857142857143
FBgn0028523,1,1,1
FBgn0028525,2,2,1
FBgn0028526,11,11,1
FBgn0028527,2,2,1
FBgn0028530,1,1,1
FBgn0028532,1,1,1
FBgn0028533,9,8,0.8888888888888888
FBgn0028534,13,11,0.8461538461538461
FBgn0028538,18,17,0.9444444444444444
FBgn0028539,8,8,1
FBgn0028540,1,1,1
FBgn0028541,12,12,1
FBgn0028543,2,2,1
FBgn0028544,5,3,0.6
FBgn0028546,5,4,0.8
FBgn0028550,15,14,0.9333333333333333
FBgn0028552,5,5,1
FBgn0028554,13,13,1
FBgn0028563,7,6,0.8571428571428571
FBgn0028572,4,4,1
FBgn0028573,1,1,1
FBgn0028577,20,15,0.75
FBgn0028579,3,4,1.3333333333333333
FBgn0028582,36,31,0.8611111111111112
FBgn0028583,21,20,0.9523809523809523
FBgn0028622,2,2,1
FBgn0028646,20,20,1
FBgn0028647,12,11,0.9166666666666666
FBgn0028648,2,2,1
FBgn0028658,5,5,1
FBgn0028662,42,38,0.9047619047619048
FBgn0028663,15,15,1
FBgn0028664,2,2,1
FBgn0028665,53,52,0.9811320754716981
FBgn0028670,53,50,0.9433962264150944
FBgn0028671,23,20,0.8695652173913043
FBgn0028675,2,2,1
FBgn0028683,5,5,1
FBgn0028684,9,9,1
FBgn0028685,15,15,1
FBgn0028686,20,20,1
FBgn0028687,21,21,1
FBgn0028688,13,12,0.9230769230769231
FBgn0028689,45,42,0.9333333333333333
FBgn0028690,17,16,0.9411764705882353
FBgn0028691,23,22,0.9565217391304348
FBgn0028692,29,27,0.9310344827586207
FBgn0028693,11,11,1
FBgn0028694,25,22,0.88
FBgn0028695,18,17,0.9444444444444444
FBgn0028697,353,350,0.9915014164305949
FBgn0028699,3,3,1
FBgn0028700,3,3,1
FBgn0028703,8,6,0.75
FBgn0028704,8,9,1.125
FBgn0028708,2,2,1
FBgn0028717,7,7,1
FBgn0028734,32,31,0.96875
FBgn0028737,82,73,0.8902439024390244
FBgn0028743,7,7,1
FBgn0028744,16,16,1
FBgn0028833,9,9,1
FBgn0028836,2,2,1
FBgn0028837,11,9,0.8181818181818182
FBgn0028862,3,3,1
FBgn0028872,2,2,1
FBgn0028875,2,1,0.5
FBgn0028879,1,1,1
FBgn0028888,1,1,1
FBgn0028894,2,2,1
FBgn0028897,1,1,1
FBgn0028899,1,1,1
FBgn0028916,5,5,1
FBgn0028919,6,5,0.8333333333333334
FBgn0028920,26,24,0.9230769230769231
FBgn0028932,7,8,1.1428571428571428
FBgn0028936,1,2,2
FBgn0028949,1,1,1
FBgn0028950,3,3,1
FBgn0028952,2,1,0.5
FBgn0028953,69,61,0.8840579710144928
FBgn0028956,1,1,1
FBgn0028962,6,3,0.5
FBgn0028965,3,3,1
FBgn0028968,12,11,0.9166666666666666
FBgn0028969,9,8,0.8888888888888888
FBgn0028970,1,1,1
FBgn0028974,9,7,0.7777777777777778
FBgn0028978,5,5,1
FBgn0028980,5,4,0.8
FBgn0028982,20,19,0.95
FBgn0028983,2,2,1
FBgn0028984,11,11,1
FBgn0028990,4,4,1
FBgn0028992,10,9,0.9
FBgn0028993,1,1,1
FBgn0028997,3,3,1
FBgn0029002,7,7,1
FBgn0029003,1,1,1
FBgn0029006,34,31,0.9117647058823529
FBgn0029067,9,8,0.8888888888888888
FBgn0029079,4,4,1
FBgn0029088,11,10,0.9090909090909091
FBgn0029091,3,2,0.6666666666666666
FBgn0029092,37,34,0.918918918918919
FBgn0029093,36,34,0.9444444444444444
FBgn0029094,23,21,0.9130434782608695
FBgn0029095,4,4,1
FBgn0029113,18,18,1
FBgn0029114,9,8,0.8888888888888888
FBgn0029117,4,3,0.75
FBgn0029118,5,5,1
FBgn0029121,3,3,1
FBgn0029128,2,2,1
FBgn0029131,10,9,0.9
FBgn0029133,15,15,1
FBgn0029134,32,32,1
FBgn0029137,1,1,1
FBgn0029147,2,2,1
FBgn0029148,7,7,1
FBgn0029152,4,4,1
FBgn0029155,32,31,0.96875
FBgn0029157,28,27,0.9642857142857143
FBgn0029158,4,4,1
FBgn0029167,16,15,0.9375
FBgn0029172,20,19,0.95
FBgn0029173,4,4,1
FBgn0029174,34,33,0.9705882352941176
FBgn0029175,5,4,0.8
FBgn0029176,166,145,0.8734939759036144
FBgn0029502,5,4,0.8
FBgn0029503,7,7,1
FBgn0029504,25,23,0.92
FBgn0029506,24,23,0.9583333333333334
FBgn0029507,7,6,0.8571428571428571
FBgn0029512,5,5,1
FBgn0029518,1,1,1
FBgn0029522,8,7,0.875
FBgn0029523,4,3,0.75
FBgn0029525,15,14,0.9333333333333333
FBgn0029568,37,36,0.972972972972973
FBgn0029588,2,2,1
FBgn0029594,2,2,1
FBgn0029608,2,1,0.5
FBgn0029629,13,9,0.6923076923076923
FBgn0029639,1,1,1
FBgn0029644,2,2,1
FBgn0029646,1,1,1
FBgn0029657,3,3,1
FBgn0029659,2,2,1
FBgn0029663,2,1,0.5
FBgn0029664,7,3,0.42857142857142855
FBgn0029665,5,5,1
FBgn0029666,16,15,0.9375
FBgn0029667,1,1,1
FBgn0029672,13,12,0.9230769230769231
FBgn0029676,2,5,2.5
FBgn0029685,4,4,1
FBgn0029686,1,1,1
FBgn0029687,16,18,1.125
FBgn0029688,22,21,0.9545454545454546
FBgn0029689,7,7,1
FBgn0029690,1,1,1
FBgn0029693,4,4,1
FBgn0029696,1,1,1
FBgn0029697,54,50,0.9259259259259259
FBgn0029706,3,3,1
FBgn0029707,1,1,1
FBgn0029708,3,3,1
FBgn0029709,4,2,0.5
FBgn0029711,12,9,0.75
FBgn0029712,2,2,1
FBgn0029713,6,4,0.6666666666666666
FBgn0029714,5,2,0.4
FBgn0029715,1,1,1
FBgn0029718,2,2,1
FBgn0029719,1,3,3
FBgn0029733,26,19,0.7307692307692307
FBgn0029736,3,3,1
FBgn0029737,10,8,0.8
FBgn0029745,1,1,1
FBgn0029750,2,2,1
FBgn0029755,20,18,0.9
FBgn0029756,7,7,1
FBgn0029761,5,4,0.8
FBgn0029762,1,1,1
FBgn0029763,11,9,0.8181818181818182
FBgn0029766,3,3,1
FBgn0029768,1,1,1
FBgn0029771,3,2,0.6666666666666666
FBgn0029778,4,4,1
FBgn0029783,1,1,1
FBgn0029785,149,146,0.9798657718120806
FBgn0029789,5,5,1
FBgn0029791,1,1,1
FBgn0029795,2,2,1
FBgn0029798,3,3,1
FBgn0029800,2,2,1
FBgn0029801,31,30,0.967741935483871
FBgn0029804,5,5,1
FBgn0029807,1,1,1
FBgn0029818,10,9,0.9
FBgn0029819,6,6,1
FBgn0029820,9,9,1
FBgn0029821,6,5,0.8333333333333334
FBgn0029822,12,12,1
FBgn0029823,10,9,0.9
FBgn0029824,1,1,1
FBgn0029825,5,6,1.2
FBgn0029826,2,2,1
FBgn0029827,1,1,1
FBgn0029828,6,5,0.8333333333333334
FBgn0029831,10,9,0.9
FBgn0029833,2,2,1
FBgn0029835,4,4,1
FBgn0029838,2,1,0.5
FBgn0029840,10,9,0.9
FBgn0029849,1,1,1
FBgn0029853,3,3,1
FBgn0029854,9,6,0.6666666666666666
FBgn0029857,1,1,1
FBgn0029858,2,2,1
FBgn0029859,1,1,1
FBgn0029860,1,1,1
FBgn0029861,7,8,1.1428571428571428
FBgn0029864,1,1,1
FBgn0029866,1,1,1
FBgn0029867,12,11,0.9166666666666666
FBgn0029868,20,17,0.85
FBgn0029870,17,15,0.8823529411764706
FBgn0029873,12,11,0.9166666666666666
FBgn0029874,1,1,1
FBgn0029878,13,8,0.6153846153846154
FBgn0029879,15,12,0.8
FBgn0029881,12,11,0.9166666666666666
FBgn0029882,8,6,0.75
FBgn0029885,2,1,0.5
FBgn0029887,16,12,0.75
FBgn0029888,16,16,1
FBgn0029891,13,10,0.7692307692307693
FBgn0029892,2,2,1
FBgn0029893,23,21,0.9130434782608695
FBgn0029894,11,10,0.9090909090909091
FBgn0029895,10,8,0.8
FBgn0029896,44,38,0.8636363636363636
FBgn0029897,141,133,0.9432624113475178
FBgn0029898,1,1,1
FBgn0029899,41,38,0.926829268292683
FBgn0029903,31,27,0.8709677419354839
FBgn0029905,16,11,0.6875
FBgn0029906,1,1,1
FBgn0029909,1,1,1
FBgn0029911,16,16,1
FBgn0029912,3,2,0.6666666666666666
FBgn0029913,1,1,1
FBgn0029914,2,1,0.5
FBgn0029915,2,2,1
FBgn0029922,7,7,1
FBgn0029924,6,6,1
FBgn0029929,4,4,1
FBgn0029930,2,2,1
FBgn0029932,4,3,0.75
FBgn0029935,6,6,1
FBgn0029936,1,1,1
FBgn0029937,1,1,1
FBgn0029939,1,1,1
FBgn0029940,1,1,1
FBgn0029941,33,30,0.9090909090909091
FBgn0029942,4,4,1
FBgn0029943,4,4,1
FBgn0029944,14,13,0.9285714285714286
FBgn0029957,3,3,1
FBgn0029958,5,5,1
FBgn0029959,7,7,1
FBgn0029965,1,1,1
FBgn0029969,4,4,1
FBgn0029970,2,2,1
FBgn0029974,3,2,0.6666666666666666
FBgn0029975,14,13,0.9285714285714286
FBgn0029976,17,15,0.8823529411764706
FBgn0029979,46,43,0.9347826086956522
FBgn0029980,2,2,1
FBgn0029990,78,70,0.8974358974358975
FBgn0029992,10,9,0.9
FBgn0029994,3,2,0.6666666666666666
FBgn0029996,33,30,0.9090909090909091
FBgn0029997,6,4,0.6666666666666666
FBgn0029999,4,4,1
FBgn0030000,10,7,0.7
FBgn0030003,5,5,1
FBgn0030004,1,1,1
FBgn0030005,1,1,1
FBgn0030007,3,3,1
FBgn0030008,1,1,1
FBgn0030010,7,2,0.2857142857142857
FBgn0030013,5,4,0.8
FBgn0030017,2,1,0.5
FBgn0030018,23,23,1
FBgn0030025,3,3,1
FBgn0030026,5,5,1
FBgn0030028,8,7,0.875
FBgn0030030,21,18,0.8571428571428571
FBgn0030034,25,22,0.88
FBgn0030035,2,2,1
FBgn0030037,10,9,0.9
FBgn0030038,37,30,0.8108108108108109
FBgn0030039,1,1,1
FBgn0030040,4,3,0.75
FBgn0030041,8,7,0.875
FBgn0030049,33,30,0.9090909090909091
FBgn0030051,2,2,1
FBgn0030052,3,3,1
FBgn0030053,4,3,0.75
FBgn0030054,14,15,1.0714285714285714
FBgn0030055,1,1,1
FBgn0030056,15,16,1.0666666666666667
FBgn0030057,3,2,0.6666666666666666
FBgn0030060,3,3,1
FBgn0030061,10,9,0.9
FBgn0030063,4,4,1
FBgn0030065,4,4,1
FBgn0030067,15,10,0.6666666666666666
FBgn0030078,1,1,1
FBgn0030081,3,2,0.6666666666666666
FBgn0030082,1,1,1
FBgn0030086,51,48,0.9411764705882353
FBgn0030087,33,29,0.8787878787878788
FBgn0030088,1,1,1
FBgn0030089,24,20,0.8333333333333334
FBgn0030090,6,6,1
FBgn0030093,14,12,0.8571428571428571
FBgn0030098,42,32,0.7619047619047619
FBgn0030100,14,11,0.7857142857142857
FBgn0030101,10,9,0.9
FBgn0030102,2,2,1
FBgn0030109,11,11,1
FBgn0030114,7,6,0.8571428571428571
FBgn0030120,1,1,1
FBgn0030121,9,9,1
FBgn0030122,12,12,1
FBgn0030136,94,88,0.9361702127659575
FBgn0030141,10,8,0.8
FBgn0030148,2,2,1
FBgn0030151,13,13,1
FBgn0030156,2,1,0.5
FBgn0030160,3,2,0.6666666666666666
FBgn0030163,2,2,1
FBgn0030170,7,7,1
FBgn0030174,8,8,1
FBgn0030177,3,2,0.6666666666666666
FBgn0030183,15,15,1
FBgn0030187,1,1,1
FBgn0030189,2,2,1
FBgn0030196,4,4,1
FBgn0030206,3,3,1
FBgn0030208,8,8,1
FBgn0030217,4,2,0.5
FBgn0030218,2,2,1
FBgn0030228,13,12,0.9230769230769231
FBgn0030230,2,2,1
FBgn0030237,6,4,0.6666666666666666
FBgn0030239,3,2,0.6666666666666666
FBgn0030240,14,10,0.7142857142857143
FBgn0030241,11,7,0.6363636363636364
FBgn0030242,4,4,1
FBgn0030243,10,9,0.9
FBgn0030244,1,1,1
FBgn0030245,16,13,0.8125
FBgn0030246,13,11,0.8461538461538461
FBgn0030251,3,3,1
FBgn0030260,1,1,1
FBgn0030263,3,2,0.6666666666666666
FBgn0030266,14,13,0.9285714285714286
FBgn0030268,24,19,0.7916666666666666
FBgn0030269,8,6,0.75
FBgn0030271,1,1,1
FBgn0030272,4,4,1
FBgn0030274,9,5,0.5555555555555556
FBgn0030276,47,42,0.8936170212765957
FBgn0030286,7,7,1
FBgn0030289,4,4,1
FBgn0030291,1,1,1
FBgn0030292,8,8,1
FBgn0030293,28,24,0.8571428571428571
FBgn0030294,2,2,1
FBgn0030300,2,1,0.5
FBgn0030301,24,23,0.9583333333333334
FBgn0030304,6,6,1
FBgn0030305,15,13,0.8666666666666667
FBgn0030306,7,7,1
FBgn0030309,9,10,1.1111111111111112
FBgn0030311,5,5,1
FBgn0030314,5,5,1
FBgn0030316,4,4,1
FBgn0030317,2,2,1
FBgn0030318,11,9,0.8181818181818182
FBgn0030320,20,18,0.9
FBgn0030321,25,25,1
FBgn0030323,2,2,1
FBgn0030326,1,1,1
FBgn0030327,1,1,1
FBgn0030328,80,78,0.975
FBgn0030329,15,12,0.8
FBgn0030330,11,9,0.8181818181818182
FBgn0030331,2,2,1
FBgn0030334,1,1,1
FBgn0030336,21,20,0.9523809523809523
FBgn0030341,4,4,1
FBgn0030342,4,4,1
FBgn0030343,17,17,1
FBgn0030344,6,6,1
FBgn0030345,4,4,1
FBgn0030346,2,2,1
FBgn0030347,3,3,1
FBgn0030349,10,10,1
FBgn0030350,3,3,1
FBgn0030351,4,4,1
FBgn0030352,4,4,1
FBgn0030354,15,15,1
FBgn0030357,4,3,0.75
FBgn0030359,2,2,1
FBgn0030360,1,1,1
FBgn0030361,2,2,1
FBgn0030362,13,13,1
FBgn0030364,14,13,0.9285714285714286
FBgn0030365,1,1,1
FBgn0030366,54,50,0.9259259259259259
FBgn0030391,5,4,0.8
FBgn0030396,11,9,0.8181818181818182
FBgn0030400,12,10,0.8333333333333334
FBgn0030403,4,3,0.75
FBgn0030406,4,3,0.75
FBgn0030410,1,1,1
FBgn0030411,2,2,1
FBgn0030412,29,26,0.896551724137931
FBgn0030420,8,8,1
FBgn0030421,1,1,1
FBgn0030431,4,5,1.25
FBgn0030432,20,15,0.75
FBgn0030433,1,1,1
FBgn0030434,6,6,1
FBgn0030435,3,3,1
FBgn0030438,22,18,0.8181818181818182
FBgn0030439,3,2,0.6666666666666666
FBgn0030447,5,5,1
FBgn0030456,7,6,0.8571428571428571
FBgn0030457,6,6,1
FBgn0030460,2,2,1
FBgn0030465,3,2,0.6666666666666666
FBgn0030466,9,9,1
FBgn0030467,2,2,1
FBgn0030468,6,6,1
FBgn0030474,4,3,0.75
FBgn0030478,20,20,1
FBgn0030479,2,2,1
FBgn0030480,4,5,1.25
FBgn0030481,4,4,1
FBgn0030482,18,16,0.8888888888888888
FBgn0030484,9,7,0.7777777777777778
FBgn0030485,7,6,0.8571428571428571
FBgn0030486,28,23,0.8214285714285714
FBgn0030499,3,2,0.6666666666666666
FBgn0030500,3,3,1
FBgn0030501,12,9,0.75
FBgn0030502,11,12,1.0909090909090908
FBgn0030503,1,2,2
FBgn0030504,34,31,0.9117647058823529
FBgn0030505,30,26,0.8666666666666667
FBgn0030506,1,1,1
FBgn0030507,6,6,1
FBgn0030510,9,6,0.6666666666666666
FBgn0030511,1,1,1
FBgn0030512,20,17,0.85
FBgn0030514,5,5,1
FBgn0030518,2,1,0.5
FBgn0030519,2,3,1.5
FBgn0030520,38,38,1
FBgn0030521,63,55,0.873015873015873
FBgn0030522,1,1,1
FBgn0030528,3,3,1
FBgn0030529,17,14,0.8235294117647058
FBgn0030530,7,7,1
FBgn0030539,3,2,0.6666666666666666
FBgn0030551,15,13,0.8666666666666667
FBgn0030552,1,1,1
FBgn0030555,2,2,1
FBgn0030556,7,7,1
FBgn0030559,1,1,1
FBgn0030562,2,2,1
FBgn0030571,3,3,1
FBgn0030573,3,3,1
FBgn0030574,7,6,0.8571428571428571
FBgn0030575,4,1,0.25
FBgn0030581,8,6,0.75
FBgn0030582,9,10,1.1111111111111112
FBgn0030584,7,7,1
FBgn0030592,1,1,1
FBgn0030593,16,16,1
FBgn0030594,12,10,0.8333333333333334
FBgn0030596,4,4,1
FBgn0030598,1,1,1
FBgn0030600,3,2,0.6666666666666666
FBgn0030603,11,11,1
FBgn0030605,21,19,0.9047619047619048
FBgn0030607,8,4,0.5
FBgn0030608,183,147,0.8032786885245902
FBgn0030610,5,3,0.6
FBgn0030611,1,1,1
FBgn0030612,9,9,1
FBgn0030613,2,1,0.5
FBgn0030614,1,1,1
FBgn0030615,2,2,1
FBgn0030616,136,133,0.9779411764705882
FBgn0030617,1,1,1
FBgn0030625,8,7,0.875
FBgn0030628,2,2,1
FBgn0030629,3,3,1
FBgn0030630,2,3,1.5
FBgn0030631,3,3,1
FBgn0030638,3,1,0.3333333333333333
FBgn0030648,10,10,1
FBgn0030653,2,2,1
FBgn0030655,5,5,1
FBgn0030657,1,1,1
FBgn0030658,16,14,0.875
FBgn0030659,2,1,0.5
FBgn0030660,10,10,1
FBgn0030662,1,1,1
FBgn0030667,1,1,1
FBgn0030668,5,5,1
FBgn0030669,1,1,1
FBgn0030670,8,8,1
FBgn0030671,5,5,1
FBgn0030672,101,97,0.9603960396039604
FBgn0030673,4,3,0.75
FBgn0030674,83,77,0.927710843373494
FBgn0030675,3,3,1
FBgn0030678,2,2,1
FBgn0030679,13,13,1
FBgn0030680,7,7,1
FBgn0030683,3,3,1
FBgn0030685,16,16,1
FBgn0030686,8,7,0.875
FBgn0030687,11,10,0.9090909090909091
FBgn0030692,12,12,1
FBgn0030693,6,5,0.8333333333333334
FBgn0030694,8,7,0.875
FBgn0030695,4,5,1.25
FBgn0030696,2,2,1
FBgn0030699,10,10,1
FBgn0030701,8,8,1
FBgn0030703,44,42,0.9545454545454546
FBgn0030704,3,3,1
FBgn0030706,1,1,1
FBgn0030710,17,16,0.9411764705882353
FBgn0030711,4,3,0.75
FBgn0030716,3,3,1
FBgn0030717,4,4,1
FBgn0030718,20,18,0.9
FBgn0030720,14,14,1
FBgn0030724,17,17,1
FBgn0030731,7,7,1
FBgn0030733,25,23,0.92
FBgn0030734,6,5,0.8333333333333334
FBgn0030735,5,6,1.2
FBgn0030737,10,9,0.9
FBgn0030738,10,9,0.9
FBgn0030739,4,3,0.75
FBgn0030740,7,6,0.8571428571428571
FBgn0030743,4,2,0.5
FBgn0030744,4,4,1
FBgn0030745,13,11,0.8461538461538461
FBgn0030747,2,1,0.5
FBgn0030748,1,1,1
FBgn0030749,10,10,1
FBgn0030752,11,10,0.9090909090909091
FBgn0030753,6,6,1
FBgn0030757,5,5,1
FBgn0030759,1,1,1
FBgn0030761,6,6,1
FBgn0030763,1,1,1
FBgn0030766,10,10,1
FBgn0030768,4,1,0.25
FBgn0030769,3,3,1
FBgn0030774,2,1,0.5
FBgn0030775,8,5,0.625
FBgn0030776,5,2,0.4
FBgn0030777,2,2,1
FBgn0030786,3,3,1
FBgn0030787,11,10,0.9090909090909091
FBgn0030788,9,9,1
FBgn0030789,8,6,0.75
FBgn0030790,22,21,0.9545454545454546
FBgn0030791,18,19,1.0555555555555556
FBgn0030792,6,6,1
FBgn0030794,2,2,1
FBgn0030800,5,4,0.8
FBgn0030801,11,11,1
FBgn0030802,6,5,0.8333333333333334
FBgn0030803,7,5,0.7142857142857143
FBgn0030805,1,1,1
FBgn0030806,1,1,1
FBgn0030808,15,15,1
FBgn0030809,46,41,0.8913043478260869
FBgn0030812,19,16,0.8421052631578947
FBgn0030813,7,7,1
FBgn0030815,1,1,1
FBgn0030816,6,6,1
FBgn0030817,22,20,0.9090909090909091
FBgn0030828,1,1,1
FBgn0030833,6,6,1
FBgn0030834,2,2,1
FBgn0030837,10,10,1
FBgn0030838,9,9,1
FBgn0030841,1,1,1
FBgn0030847,2,2,1
FBgn0030850,22,21,0.9545454545454546
FBgn0030853,19,14,0.7368421052631579
FBgn0030854,7,7,1
FBgn0030855,6,6,1
FBgn0030858,3,3,1
FBgn0030863,27,22,0.8148148148148148
FBgn0030864,30,28,0.9333333333333333
FBgn0030869,24,25,1.0416666666666667
FBgn0030870,37,35,0.9459459459459459
FBgn0030871,14,13,0.9285714285714286
FBgn0030872,5,4,0.8
FBgn0030873,3,3,1
FBgn0030874,1,1,1
FBgn0030876,2,2,1
FBgn0030877,2,2,1
FBgn0030878,7,6,0.8571428571428571
FBgn0030883,1,1,1
FBgn0030886,1,1,1
FBgn0030890,9,8,0.8888888888888888
FBgn0030891,5,4,0.8
FBgn0030892,3,3,1
FBgn0030893,3,3,1
FBgn0030894,12,12,1
FBgn0030897,2,1,0.5
FBgn0030915,1,1,1
FBgn0030925,1,1,1
FBgn0030927,2,2,1
FBgn0030929,4,4,1
FBgn0030930,9,8,0.8888888888888888
FBgn0030931,1,1,1
FBgn0030932,25,21,0.84
FBgn0030938,6,5,0.8333333333333334
FBgn0030941,9,9,1
FBgn0030943,3,3,1
FBgn0030944,13,13,1
FBgn0030945,4,4,1
FBgn0030946,5,3,0.6
FBgn0030955,1,1,1
FBgn0030956,3,6,2
FBgn0030959,3,4,1.3333333333333333
FBgn0030960,5,3,0.6
FBgn0030963,2,2,1
FBgn0030964,11,10,0.9090909090909091
FBgn0030966,4,4,1
FBgn0030968,3,3,1
FBgn0030969,2,1,0.5
FBgn0030970,5,4,0.8
FBgn0030973,8,8,1
FBgn0030974,2,2,1
FBgn0030976,27,25,0.9259259259259259
FBgn0030990,5,5,1
FBgn0030991,13,11,0.8461538461538461
FBgn0030995,2,2,1
FBgn0030996,11,8,0.7272727272727273
FBgn0030997,2,2,1
FBgn0030998,2,2,1
FBgn0030999,23,18,0.782608695652174
FBgn0031003,3,3,1
FBgn0031004,1,1,1
FBgn0031006,24,24,1
FBgn0031008,7,6,0.8571428571428571
FBgn0031010,1,1,1
FBgn0031011,20,18,0.9
FBgn0031016,16,11,0.6875
FBgn0031020,29,29,1
FBgn0031021,15,15,1
FBgn0031022,3,3,1
FBgn0031023,20,19,0.95
FBgn0031030,112,103,0.9196428571428571
FBgn0031033,1,1,1
FBgn0031034,3,2,0.6666666666666666
FBgn0031036,2,2,1
FBgn0031037,26,20,0.7692307692307693
FBgn0031040,1,1,1
FBgn0031043,8,8,1
FBgn0031044,9,8,0.8888888888888888
FBgn0031045,1,1,1
FBgn0031047,12,10,0.8333333333333334
FBgn0031048,10,9,0.9
FBgn0031049,9,9,1
FBgn0031050,6,6,1
FBgn0031051,14,14,1
FBgn0031052,10,10,1
FBgn0031053,1,1,1
FBgn0031054,6,6,1
FBgn0031057,58,47,0.8103448275862069
FBgn0031059,3,3,1
FBgn0031060,1,1,1
FBgn0031061,4,3,0.75
FBgn0031062,7,7,1
FBgn0031064,2,2,1
FBgn0031066,67,57,0.8507462686567164
FBgn0031068,3,3,1
FBgn0031069,27,25,0.9259259259259259
FBgn0031070,7,7,1
FBgn0031078,14,13,0.9285714285714286
FBgn0031081,1,1,1
FBgn0031089,5,5,1
FBgn0031090,30,27,0.9
FBgn0031091,14,13,0.9285714285714286
FBgn0031092,2,2,1
FBgn0031093,1,1,1
FBgn0031094,3,3,1
FBgn0031097,7,7,1
FBgn0031098,5,5,1
FBgn0031099,2,2,1
FBgn0031106,3,3,1
FBgn0031107,6,6,1
FBgn0031111,19,19,1
FBgn0031114,7,7,1
FBgn0031115,1,1,1
FBgn0031117,5,4,0.8
FBgn0031118,39,32,0.8205128205128205
FBgn0031119,5,4,0.8
FBgn0031126,10,10,1
FBgn0031141,2,1,0.5
FBgn0031143,10,10,1
FBgn0031144,2,2,1
FBgn0031145,25,28,1.12
FBgn0031148,13,12,0.9230769230769231
FBgn0031149,25,22,0.88
FBgn0031150,4,3,0.75
FBgn0031161,3,3,1
FBgn0031168,1,1,1
FBgn0031169,3,3,1
FBgn0031170,16,14,0.875
FBgn0031171,17,13,0.7647058823529411
FBgn0031174,1,1,1
FBgn0031176,89,21,0.23595505617977527
FBgn0031181,1,1,1
FBgn0031183,16,15,0.9375
FBgn0031184,1,1,1
FBgn0031187,27,19,0.7037037037037037
FBgn0031188,16,16,1
FBgn0031189,4,4,1
FBgn0031190,16,16,1
FBgn0031191,1,2,2
FBgn0031194,5,4,0.8
FBgn0031195,1,1,1
FBgn0031208,1,1,1
FBgn0031213,13,12,0.9230769230769231
FBgn0031216,16,13,0.8125
FBgn0031217,7,7,1
FBgn0031220,3,4,1.3333333333333333
FBgn0031224,6,6,1
FBgn0031227,1,1,1
FBgn0031228,15,15,1
FBgn0031229,3,2,0.6666666666666666
FBgn0031231,2,2,1
FBgn0031232,1,2,2
FBgn0031233,13,13,1
FBgn0031235,2,3,1.5
FBgn0031238,2,2,1
FBgn0031239,2,2,1
FBgn0031244,3,3,1
FBgn0031245,7,7,1
FBgn0031247,5,5,1
FBgn0031248,2,2,1
FBgn0031249,13,10,0.7692307692307693
FBgn0031250,5,4,0.8
FBgn0031251,6,5,0.8333333333333334
FBgn0031253,2,2,1
FBgn0031256,3,3,1
FBgn0031258,6,6,1
FBgn0031260,9,9,1
FBgn0031261,1,1,1
FBgn0031263,9,8,0.8888888888888888
FBgn0031264,1,1,1
FBgn0031265,3,3,1
FBgn0031266,14,10,0.7142857142857143
FBgn0031267,5,4,0.8
FBgn0031268,3,4,1.3333333333333333
FBgn0031270,2,3,1.5
FBgn0031277,7,5,0.7142857142857143
FBgn0031279,2,1,0.5
FBgn0031281,6,6,1
FBgn0031282,2,2,1
FBgn0031284,2,3,1.5
FBgn0031285,59,60,1.0169491525423728
FBgn0031287,2,2,1
FBgn0031294,14,13,0.9285714285714286
FBgn0031298,5,6,1.2
FBgn0031299,2,2,1
FBgn0031304,6,6,1
FBgn0031305,1,1,1
