feature,tophat2,hisat2,hisat2/tophat2
FBgn0015282,12,11,0.9166666666666666
FBgn0015283,10,9,0.9
FBgn0015286,19,19,1
FBgn0015288,35,31,0.8857142857142857
FBgn0015295,18,20,1.1111111111111112
FBgn0015296,5,5,1
FBgn0015298,5,4,0.8
FBgn0015299,2,1,0.5
FBgn0015320,11,11,1
FBgn0015321,17,16,0.9411764705882353
FBgn0015331,3,2,0.6666666666666666
FBgn0015336,1,1,1
FBgn0015338,8,6,0.75
FBgn0015351,1,1,1
FBgn0015359,7,6,0.8571428571428571
FBgn0015360,9,9,1
FBgn0015371,21,22,1.0476190476190477
FBgn0015372,5,5,1
FBgn0015376,5,4,0.8
FBgn0015379,8,8,1
FBgn0015391,41,40,0.975609756097561
FBgn0015393,15,14,0.9333333333333333
FBgn0015396,28,28,1
FBgn0015399,6,6,1
FBgn0015402,6,6,1
FBgn0015477,24,25,1.0416666666666667
FBgn0015509,46,43,0.9347826086956522
FBgn0015513,17,14,0.8235294117647058
FBgn0015519,2,1,0.5
FBgn0015520,5,4,0.8
FBgn0015521,56,45,0.8035714285714286
FBgn0015522,15,10,0.6666666666666666
FBgn0015527,8,8,1
FBgn0015541,10,11,1.1
FBgn0015544,4,4,1
FBgn0015546,9,7,0.7777777777777778
FBgn0015553,9,8,0.8888888888888888
FBgn0015568,3,3,1
FBgn0015569,4,5,1.25
FBgn0015570,2,2,1
FBgn0015571,2,2,1
FBgn0015572,1,1,1
FBgn0015575,3,3,1
FBgn0015577,4,4,1
FBgn0015582,3,3,1
FBgn0015589,12,11,0.9166666666666666
FBgn0015591,2,2,1
FBgn0015600,37,36,0.972972972972973
FBgn0015602,16,16,1
FBgn0015609,8,8,1
FBgn0015614,17,14,0.8235294117647058
FBgn0015615,5,5,1
FBgn0015618,2,2,1
FBgn0015621,3,3,1
FBgn0015622,28,26,0.9285714285714286
FBgn0015623,50,47,0.94
FBgn0015625,39,38,0.9743589743589743
FBgn0015664,5,3,0.6
FBgn0015737,36,30,0.8333333333333334
FBgn0015754,20,19,0.95
FBgn0015756,200,197,0.985
FBgn0015765,1,1,1
FBgn0015766,58,53,0.9137931034482759
FBgn0015772,18,17,0.9444444444444444
FBgn0015774,3,3,1
FBgn0015776,47,45,0.9574468085106383
FBgn0015777,13,12,0.9230769230769231
FBgn0015778,104,79,0.7596153846153846
FBgn0015781,4,4,1
FBgn0015789,43,42,0.9767441860465116
FBgn0015790,21,16,0.7619047619047619
FBgn0015791,9,9,1
FBgn0015793,2,2,1
FBgn0015794,6,6,1
FBgn0015795,20,19,0.95
FBgn0015797,15,14,0.9333333333333333
FBgn0015799,15,14,0.9333333333333333
FBgn0015801,10,10,1
FBgn0015803,19,18,0.9473684210526315
FBgn0015805,30,17,0.5666666666666667
FBgn0015808,6,7,1.1666666666666667
FBgn0015818,4,4,1
FBgn0015828,7,6,0.8571428571428571
FBgn0015829,2,3,1.5
FBgn0015834,21,22,1.0476190476190477
FBgn0015838,13,12,0.9230769230769231
FBgn0015872,6,5,0.8333333333333334
FBgn0015903,22,20,0.9090909090909091
FBgn0015905,3,3,1
FBgn0015924,44,41,0.9318181818181818
FBgn0015925,10,10,1
FBgn0015926,8,7,0.875
FBgn0015929,14,14,1
FBgn0015949,19,18,0.9473684210526315
FBgn0016013,1,1,1
FBgn0016031,13,11,0.8461538461538461
FBgn0016034,6,5,0.8333333333333334
FBgn0016038,3,3,1
FBgn0016041,31,30,0.967741935483871
FBgn0016047,1,1,1
FBgn0016053,40,35,0.875
FBgn0016059,51,44,0.8627450980392157
FBgn0016061,3,3,1
FBgn0016070,137,122,0.8905109489051095
FBgn0016075,2,1,0.5
FBgn0016076,9,9,1
FBgn0016078,1,1,1
FBgn0016081,22,15,0.6818181818181818
FBgn0016119,30,29,0.9666666666666667
FBgn0016120,83,72,0.8674698795180723
FBgn0016122,8,7,0.875
FBgn0016123,5,1,0.2
FBgn0016126,17,16,0.9411764705882353
FBgn0016131,7,5,0.7142857142857143
FBgn0016641,27,22,0.8148148148148148
FBgn0016650,3,3,1
FBgn0016672,5,5,1
FBgn0016675,1,1,1
FBgn0016684,1,1,1
FBgn0016685,87,76,0.8735632183908046
FBgn0016687,22,17,0.7727272727272727
FBgn0016691,71,62,0.8732394366197183
FBgn0016693,12,10,0.8333333333333334
FBgn0016694,25,23,0.92
FBgn0016696,15,15,1
FBgn0016697,16,16,1
FBgn0016698,3,3,1
FBgn0016700,22,20,0.9090909090909091
FBgn0016701,8,6,0.75
FBgn0016715,1,1,1
FBgn0016726,85,77,0.9058823529411765
FBgn0016754,9,9,1
FBgn0016756,46,40,0.8695652173913043
FBgn0016762,2,2,1
FBgn0016794,27,23,0.8518518518518519
FBgn0016797,10,10,1
FBgn0016917,74,68,0.918918918918919
FBgn0016920,2,1,0.5
FBgn0016926,121,115,0.9504132231404959
FBgn0016930,20,20,1
FBgn0016970,2,1,0.5
FBgn0016974,1,1,1
FBgn0016977,179,166,0.9273743016759777
FBgn0016978,9,9,1
FBgn0016983,20,20,1
FBgn0016984,21,18,0.8571428571428571
FBgn0017414,1,1,1
FBgn0017418,34,30,0.8823529411764706
FBgn0017424,5,4,0.8
FBgn0017429,7,7,1
FBgn0017430,3,3,1
FBgn0017448,1,1,1
FBgn0017457,5,3,0.6
FBgn0017482,5,6,1.2
FBgn0017545,270,261,0.9666666666666667
FBgn0017550,17,11,0.6470588235294118
FBgn0017551,4,3,0.75
FBgn0017558,16,13,0.8125
FBgn0017561,14,13,0.9285714285714286
FBgn0017566,20,20,1
FBgn0017567,3,3,1
FBgn0017572,12,12,1
FBgn0017577,24,23,0.9583333333333334
FBgn0017578,3,1,0.3333333333333333
FBgn0017579,284,265,0.9330985915492958
FBgn0017581,273,252,0.9230769230769231
FBgn0017590,3,1,0.3333333333333333
FBgn0019624,89,78,0.8764044943820225
FBgn0019637,4,4,1
FBgn0019643,4,4,1
FBgn0019644,56,51,0.9107142857142857
FBgn0019662,5,3,0.6
FBgn0019686,28,24,0.8571428571428571
FBgn0019830,7,6,0.8571428571428571
FBgn0019890,9,8,0.8888888888888888
FBgn0019925,17,15,0.8823529411764706
FBgn0019928,1,1,1
FBgn0019932,8,8,1
FBgn0019936,164,175,1.0670731707317074
FBgn0019938,23,23,1
FBgn0019947,9,8,0.8888888888888888
FBgn0019949,4,3,0.75
FBgn0019952,1,1,1
FBgn0019957,57,56,0.9824561403508771
FBgn0019960,19,21,1.105263157894737
FBgn0019968,12,10,0.8333333333333334
FBgn0019972,7,6,0.8571428571428571
FBgn0019982,6,7,1.1666666666666667
FBgn0019985,2,1,0.5
FBgn0019990,15,11,0.7333333333333333
FBgn0020018,1,1,1
FBgn0020224,22,20,0.9090909090909091
FBgn0020235,63,57,0.9047619047619048
FBgn0020236,37,32,0.8648648648648649
FBgn0020238,135,126,0.9333333333333333
FBgn0020248,5,4,0.8
FBgn0020249,19,17,0.8947368421052632
FBgn0020251,11,9,0.8181818181818182
FBgn0020255,96,94,0.9791666666666666
FBgn0020257,6,4,0.6666666666666666
FBgn0020261,8,9,1.125
FBgn0020270,1,1,1
